Topic,Count,Name,Representation,Representative_Docs
56,76,56_border_side_bashan_jordan,"['border', 'side', 'bashan', 'jordan', 'river', 'coast', 'east', 'manasseh', 'og', 'west']","['13:7 Now therefore divide this land for an inheritance unto the nine tribes, and the half tribe of Manasseh, 13:8 With whom the Reubenites and the Gadites have received their inheritance, which Moses gave them, beyond Jordan eastward, even as Moses the servant of the LORD gave them; 13:9 From Aroer, that is upon the bank of the river Arnon, and the city that is in the midst of the river, and all the plain of Medeba unto Dibon; 13:10 And all the cities of Sihon king of the Amorites, which reigned in Heshbon, unto the border of the children of Ammon; 13:11 And Gilead, and the border of the Geshurites and Maachathites, and all mount Hermon, and all Bashan unto Salcah; 13:12 All the kingdom of Og in Bashan, which reigned in Ashtaroth and in Edrei, who remained of the remnant of the giants: for these did Moses smite, and cast them out.', 'And their border in the north quarter was from the bay of the sea at the uttermost part of Jordan: 15:6 And the border went up to Bethhogla, and passed along by the north of Betharabah; and the border went up to the stone of Bohan the son of Reuben: 15:7 And the border went up toward Debir from the valley of Achor, and so northward, looking toward Gilgal, that is before the going up to Adummim, which is on the south side of the river: and the border passed toward the waters of Enshemesh, and the goings out thereof were at Enrogel: 15:8 And the border went up by the valley of the son of Hinnom unto the south side of the Jebusite; the same is Jerusalem: and the border went up to the top of the mountain that lieth before the valley of Hinnom westward, which is at the end of the valley of the giants northward: 15:9 And the border was drawn from the top of the hill unto the fountain of the water of Nephtoah, and went out to the cities of mount Ephron; and the border was drawn to Baalah, which is Kirjathjearim: 15:10 And the border compassed from Baalah westward unto mount Seir, and passed along unto the side of mount Jearim, which is Chesalon, on the north side, and went down to Bethshemesh, and passed on to Timnah: 15:11 And the border went out unto the side of Ekron northward: and the border was drawn to Shicron, and passed along to mount Baalah, and went out unto Jabneel; and the goings out of the border were at the sea.', '12:1 Now these are the kings of the land, which the children of Israel smote, and possessed their land on the other side Jordan toward the rising of the sun, from the river Arnon unto mount Hermon, and all the plain on the east: 12:2 Sihon king of the Amorites, who dwelt in Heshbon, and ruled from Aroer, which is upon the bank of the river Arnon, and from the middle of the river, and from half Gilead, even unto the river Jabbok, which is the border of the children of Ammon; 12:3 And from the plain to the sea of Chinneroth on the east, and unto the sea of the plain, even the salt sea on the east, the way to Bethjeshimoth; and from the south, under Ashdothpisgah: 12:4 And the coast of Og king of Bashan, which was of the remnant of the giants, that dwelt at Ashtaroth and at Edrei, 12:5 And reigned in mount Hermon, and in Salcah, and in all Bashan, unto the border of the Geshurites and the Maachathites, and half Gilead, the border of Sihon king of Heshbon.']"
57,72,57_emma_you_very_knightley,"['emma', 'you', 'very', 'knightley', 'dear', 'replied', 'dearest', 'weston', 'mr', 'cried']","['""I have something to tell you, Emma; some news.""', '""From something that he said, my dear Emma, I rather imagine--""', '""Yes,"" said Emma, ""I hope I do.""']"
58,71,58_hezekiah_assyria_isaiah_king,"['hezekiah', 'assyria', 'isaiah', 'king', '32', 'sennacherib', 'judah', 'deliver', '36', 'saying']","['39:3 Then came Isaiah the prophet unto king Hezekiah, and said unto him, What said these men? and from whence came they unto thee? And Hezekiah said, They are come from a far country unto me, even from Babylon.', '20:14 Then came Isaiah the prophet unto king Hezekiah, and said unto him, What said these men? and from whence came they unto thee? And Hezekiah said, They are come from a far country, even from Babylon.', '32:9 After this did Sennacherib king of Assyria send his servants to Jerusalem, (but he himself laid siege against Lachish, and all his power with him,) unto Hezekiah king of Judah, and unto all Judah that were at Jerusalem, saying, 32:10 Thus saith Sennacherib king of Assyria, Whereon do ye trust, that ye abide in the siege in Jerusalem? 32:11 Doth not Hezekiah persuade you to give over yourselves to die by famine and by thirst, saying, The LORD our God shall deliver us out of the hand of the king of Assyria?  32:12 Hath not the same Hezekiah taken away his high places and his altars, and commanded Judah and Jerusalem, saying, Ye shall worship before one altar, and burn incense upon it?  32:13 Know ye not what I and my fathers have done unto all the people of other lands? were the gods of the nations of those lands any ways able to deliver their lands out of mine hand?  32:14 Who was there among all the gods of those nations that my fathers utterly destroyed, that could deliver his people out of mine hand, that your God should be able to deliver you out of mine hand?  32:15 Now therefore let not Hezekiah deceive you, nor persuade you on this manner, neither yet believe him: for no god of any nation or kingdom was able to deliver his people out of mine hand, and out of the hand of my fathers: how much less shall your God deliver you out of mine hand?  32:16 And his servants spake yet more against the LORD God, and against his servant Hezekiah.']"
59,71,59_harriet_martin_smith_robert,"['harriet', 'martin', 'smith', 'robert', 'you', 'emma', 'girl', 'very', 'have', 'marry']","['""I have always thought it a very foolish intimacy,"" said Mr. Knightley presently, ""though I have kept my thoughts to myself; but I now perceive that it will be a very unfortunate one for Harriet. You will puff her up with such ideas of her own beauty, and of what she has a claim to, that, in a little while, nobody within her reach will be good enough for her.  Vanity working on a weak head, produces every sort of mischief.  Nothing so easy as for a young lady to raise her expectations too high.  Miss Harriet Smith may not find offers of marriage flow in so fast, though she is a very pretty girl. Men of sense, whatever you may chuse to say, do not want silly wives. Men of family would not be very fond of connecting themselves with a girl of such obscurity--and most prudent men would be afraid of the inconvenience and disgrace they might be involved in, when the mystery of her parentage came to be revealed.  Let her marry Robert Martin, and she is safe, respectable, and happy for ever; but if you encourage her to expect to marry greatly, and teach her to be satisfied with nothing less than a man of consequence and large fortune, she may be a parlour-boarder at Mrs. Goddard\'s all the rest of her life--or, at least, (for Harriet Smith is a girl who will marry somebody or other,) till she grow desperate, and is glad to catch at the old writing-master\'s son.""', '""Not Harriet\'s equal!"" exclaimed Mr. Knightley loudly and warmly; and with calmer asperity, added, a few moments afterwards, ""No, he is not her equal indeed, for he is as much her superior in sense as in situation.  Emma, your infatuation about that girl blinds you. What are Harriet Smith\'s claims, either of birth, nature or education, to any connexion higher than Robert Martin? She is the natural daughter of nobody knows whom, with probably no settled provision at all, and certainly no respectable relations.  She is known only as parlour-boarder at a common school.  She is not a sensible girl, nor a girl of any information.  She has been taught nothing useful, and is too young and too simple to have acquired any thing herself. At her age she can have no experience, and with her little wit, is not very likely ever to have any that can avail her. She is pretty, and she is good tempered, and that is all. My only scruple in advising the match was on his account, as being beneath his deserts, and a bad connexion for him.  I felt that, as to fortune, in all probability he might do much better; and that as to a rational companion or useful helpmate, he could not do worse. But I could not reason so to a man in love, and was willing to trust to there being no harm in her, to her having that sort of disposition, which, in good hands, like his, might be easily led aright and turn out very well.  The advantage of the match I felt to be all on her side; and had not the smallest doubt (nor have I now) that there would be a general cry-out upon her extreme good luck. Even _your_ satisfaction I made sure of.  It crossed my mind immediately that you would not regret your friend\'s leaving Highbury, for the sake of her being settled so well.  I remember saying to myself, `Even Emma, with all her partiality for Harriet, will think this a good match.\'""', '""Our little friend Harriet Smith, however, is just such another pretty kind of young person.  You will like Harriet.  Emma could not have a better companion than Harriet.""']"
60,70,60_reigned_reign_years_began,"['reigned', 'reign', 'years', 'began', 'jerusalem', 'twenty', 'year', 'judah', 'joash', 'samaria']","['8:17 Thirty and two years old was he when he began to reign; and he reigned eight years in Jerusalem.', '20:31 And Jehoshaphat reigned over Judah: he was thirty and five years old when he began to reign, and he reigned twenty and five years in Jerusalem.', '27:8 He was five and twenty years old when he began to reign, and reigned sixteen years in Jerusalem.']"
61,66,61_light_darkness_dark_day,"['light', 'darkness', 'dark', 'day', 'let', 'night', 'sun', 'shineth', 'moon', 'fellowship']","['1:3 And God said, Let there be light: and there was light.', '5:5 Ye are all the children of light, and the children of the day: we are not of the night, nor of darkness.', '1:4 And God saw the light, that it was good: and God divided the light from the darkness.']"
62,65,62_circumcised_circumcision_uncircumcision_uncircumcised,"['circumcised', 'circumcision', 'uncircumcision', 'uncircumcised', 'circumcise', 'foreskin', 'flesh', 'christ', 'gentiles', 'abraham']","['2:26 Therefore if the uncircumcision keep the righteousness of the law, shall not his uncircumcision be counted for circumcision?  2:27 And shall not uncircumcision which is by nature, if it fulfil the law, judge thee, who by the letter and circumcision dost transgress the law?  2:28 For he is not a Jew, which is one outwardly; neither is that circumcision, which is outward in the flesh: 2:29 But he is a Jew, which is one inwardly; and circumcision is that of the heart, in the spirit, and not in the letter; whose praise is not of men, but of God.', '7:18 Is any man called being circumcised? let him not become uncircumcised. Is any called in uncircumcision? let him not be circumcised.', '4:11 And he received the sign of circumcision, a seal of the righteousness of the faith which he had yet being uncircumcised: that he might be the father of all them that believe, though they be not circumcised; that righteousness might be imputed unto them also: 4:12 And the father of circumcision to them who are not of the circumcision only, but who also walk in the steps of that faith of our father Abraham, which he had being yet uncircumcised.']"
63,65,63_joshua_ai_10_smote,"['joshua', 'ai', '10', 'smote', 'makkedah', 'israel', 'edge', 'gibeon', 'gilgal', 'utterly']","['8:3 So Joshua arose, and all the people of war, to go up against Ai: and Joshua chose out thirty thousand mighty men of valour, and sent them away by night.', '8:9 Joshua therefore sent them forth: and they went to lie in ambush, and abode between Bethel and Ai, on the west side of Ai: but Joshua lodged that night among the people.', '8:23 And the king of Ai they took alive, and brought him to Joshua.']"
64,64,64_elinor_replied_you_yourself,"['elinor', 'replied', 'you', 'yourself', 'have', 'can', 'believe', 'certainly', 'cried', 'smile']","['""How long has this been known to you, Elinor? has he written to you?""', '""No, Elinor,"" she replied, ""ask nothing; you will soon know all.""', '""I think you will like him,"" said Elinor, ""when you know more of him.""']"
65,62,65_emma_her_she_randalls,"['emma', 'her', 'she', 'randalls', 'weston', 'hartfield', 'could', 'was', 'misunderstandings', 'hoped']","[""She knew that at times she must be missed; and could not think, without pain, of Emma's losing a single pleasure, or suffering an hour's ennui, from the want of her companionableness: but dear Emma was of no feeble character; she was more equal to her situation than most girls would have been, and had sense, and energy, and spirits that might be hoped would bear her well and happily through its little difficulties and privations.  And then there was such comfort in the very easy distance of Randalls from Hartfield, so convenient for even solitary female walking, and in Mr. Weston's disposition and circumstances, which would make the approaching season no hindrance to their spending half the evenings in the week together."", 'Emma assured her there would be no difficulty in the answer, and advised its being written directly, which was agreed to, in the hope of her assistance; and though Emma continued to protest against any assistance being wanted, it was in fact given in the formation of every sentence.  The looking over his letter again, in replying to it, had such a softening tendency, that it was particularly necessary to brace her up with a few decisive expressions; and she was so very much concerned at the idea of making him unhappy, and thought so much of what his mother and sisters would think and say, and was so anxious that they should not fancy her ungrateful, that Emma believed if the young man had come in her way at that moment, he would have been accepted after all.', ""Emma had hardly expected them:  for Mr. Weston, who had called in for half a minute, in order to hear that his son was very handsome, knew nothing of their plans; and it was an agreeable surprize to her, therefore, to perceive them walking up to the house together, arm in arm.  She was wanting to see him again, and especially to see him in company with Mrs. Weston, upon his behaviour to whom her opinion of him was to depend.  If he were deficient there, nothing should make amends for it.  But on seeing them together, she became perfectly satisfied.  It was not merely in fine words or hyperbolical compliment that he paid his duty; nothing could be more proper or pleasing than his whole manner to her--nothing could more agreeably denote his wish of considering her as a friend and securing her affection.  And there was time enough for Emma to form a reasonable judgment, as their visit included all the rest of the morning. They were all three walking about together for an hour or two-- first round the shrubberies of Hartfield, and afterwards in Highbury. He was delighted with every thing; admired Hartfield sufficiently for Mr. Woodhouse's ear; and when their going farther was resolved on, confessed his wish to be made acquainted with the whole village, and found matter of commendation and interest much oftener than Emma could have supposed.""]"
66,61,66_wisdom_wise_fool_fools,"['wisdom', 'wise', 'fool', 'fools', 'knowledge', 'understanding', 'lips', 'prudent', 'folly', 'heart']","['14:8 The wisdom of the prudent is to understand his way: but the folly of fools is deceit.', '17:24 Wisdom is before him that hath understanding; but the eyes of a fool are in the ends of the earth.', '8:5 O ye simple, understand wisdom: and, ye fools, be ye of an understanding heart.']"
67,58,67_queen_jury_king_tarts,"['queen', 'jury', 'king', 'tarts', 'verdict', 'executioner', 'off', 'said', 'executed', 'evidence']","[""'Get up!' said the Queen, in a shrill, loud voice, and the three gardeners instantly jumped up, and began bowing to the King, the Queen, the royal children, and everybody else."", ""'Are their heads off?' shouted the Queen."", ""Five and Seven said nothing, but looked at Two. Two began in a low voice, 'Why the fact is, you see, Miss, this here ought to have been a RED rose-tree, and we put a white one in by mistake; and if the Queen was to find it out, we should all have our heads cut off, you know. So you see, Miss, we're doing our best, afore she comes, to--' At this moment Five, who had been anxiously looking across the garden, called out 'The Queen! The Queen!' and the three gardeners instantly threw themselves flat upon their faces. There was a sound of many footsteps, and Alice looked round, eager to see the Queen.""]"
68,58,68_babylon_51_50_against,"['babylon', '51', '50', 'against', 'hath', 'nations', 'her', 'chaldeans', 'land', 'vengeance']","['51:41 How is Sheshach taken! and how is the praise of the whole earth surprised! how is Babylon become an astonishment among the nations! 51:42 The sea is come up upon Babylon: she is covered with the multitude of the waves thereof.', '51:1 Thus saith the LORD; Behold, I will raise up against Babylon, and against them that dwell in the midst of them that rise up against me, a destroying wind; 51:2 And will send unto Babylon fanners, that shall fan her, and shall empty her land: for in the day of trouble they shall be against her round about.', '51:54 A sound of a cry cometh from Babylon, and great destruction from the land of the Chaldeans: 51:55 Because the LORD hath spoiled Babylon, and destroyed out of her the great voice; when her waves do roar like great waters, a noise of their voice is uttered: 51:56 Because the spoiler is come upon her, even upon Babylon, and her mighty men are taken, every one of their bows is broken: for the LORD God of recompences shall surely requite.']"
69,57,69_evan_voice_said_cried,"['evan', 'voice', 'said', 'cried', 'answered', 'asked', 'we', 'played', 'got', 'stamping']","['""But now----"" said Evan, in a low voice.', '""I see you are not,"" said Evan, ""but I am.""', '""It has no door,"" said Evan.']"
70,56,70_10_wicked_thou_christ,"['10', 'wicked', 'thou', 'christ', 'measure', 'preach', 'faith', 'bold', 'heart', 'we']","[""10:14 For we stretch not ourselves beyond our measure, as though we reached not unto you: for we are come as far as to you also in preaching the gospel of Christ: 10:15 Not boasting of things without our measure, that is, of other men's labours; but having hope, when your faith is increased, that we shall be enlarged by you according to our rule abundantly, 10:16 To preach the gospel in the regions beyond you, and not to boast in another man's line of things made ready to our hand."", '10:6 But the righteousness which is of faith speaketh on this wise, Say not in thine heart, Who shall ascend into heaven? (that is, to bring Christ down from above:) 10:7 Or, Who shall descend into the deep? (that is, to bring up Christ again from the dead.)  10:8 But what saith it? The word is nigh thee, even in thy mouth, and in thy heart: that is, the word of faith, which we preach; 10:9 That if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved.', ""10:3 Is it good unto thee that thou shouldest oppress, that thou shouldest despise the work of thine hands, and shine upon the counsel of the wicked?  10:4 Hast thou eyes of flesh? or seest thou as man seeth?  10:5 Are thy days as the days of man? are thy years as man's days, 10:6 That thou enquirest after mine iniquity, and searchest after my sin?  10:7 Thou knowest that I am not wicked; and there is none that can deliver out of thine hand.""]"
71,56,71_unclean_11_cud_hoof,"['unclean', '11', 'cud', 'hoof', 'carcase', 'eat', 'cheweth', 'whatsoever', 'abomination', 'divideth']","['11:8 Of their flesh shall ye not eat, and their carcase shall ye not touch; they are unclean to you.', '11:26 The carcases of every beast which divideth the hoof, and is not clovenfooted, nor cheweth the cud, are unclean unto you: every one that toucheth them shall be unclean.', '14:8 And the swine, because it divideth the hoof, yet cheweth not the cud, it is unclean unto you: ye shall not eat of their flesh, nor touch their dead carcase.']"
72,55,72_jacob_esau_laban_31,"['jacob', 'esau', 'laban', '31', '32', 'isaac', 'birthright', '27', 'padanaram', 'blessing']","['32:27 And he said unto him, What is thy name? And he said, Jacob.', ""27:22 And Jacob went near unto Isaac his father; and he felt him, and said, The voice is Jacob's voice, but the hands are the hands of Esau."", '27:41 And Esau hated Jacob because of the blessing wherewith his father blessed him: and Esau said in his heart, The days of mourning for my father are at hand; then will I slay my brother Jacob.']"
73,53,73_suburbs_tribe_cities_villages,"['suburbs', 'tribe', 'cities', 'villages', 'families', '15', 'children', '21', 'lot', 'inheritance']","['6:77 Unto the rest of the children of Merari were given out of the tribe of Zebulun, Rimmon with her suburbs, Tabor with her suburbs: 6:78 And on the other side Jordan by Jericho, on the east side of Jordan, were given them out of the tribe of Reuben, Bezer in the wilderness with her suburbs, and Jahzah with her suburbs, 6:79 Kedemoth also with her suburbs, and Mephaath with her suburbs: 6:80 And out of the tribe of Gad; Ramoth in Gilead with her suburbs, and Mahanaim with her suburbs, 6:81 And Heshbon with her suburbs, and Jazer with her suburbs.', '6:57 And to the sons of Aaron they gave the cities of Judah, namely, Hebron, the city of refuge, and Libnah with her suburbs, and Jattir, and Eshtemoa, with their suburbs, 6:58 And Hilen with her suburbs, Debir with her suburbs, 6:59 And Ashan with her suburbs, and Bethshemesh with her suburbs: 6:60 And out of the tribe of Benjamin; Geba with her suburbs, and Alemeth with her suburbs, and Anathoth with her suburbs. All their cities throughout their families were thirteen cities.', '6:71 Unto the sons of Gershom were given out of the family of the half tribe of Manasseh, Golan in Bashan with her suburbs, and Ashtaroth with her suburbs: 6:72 And out of the tribe of Issachar; Kedesh with her suburbs, Daberath with her suburbs, 6:73 And Ramoth with her suburbs, and Anem with her suburbs: 6:74 And out of the tribe of Asher; Mashal with her suburbs, and Abdon with her suburbs, 6:75 And Hukok with her suburbs, and Rehob with her suburbs: 6:76 And out of the tribe of Naphtali; Kedesh in Galilee with her suburbs, and Hammon with her suburbs, and Kirjathaim with her suburbs.']"
74,52,74_jennings_mrs_her_elinor,"['jennings', 'mrs', 'her', 'elinor', 'palmer', 'marianne', 'she', 'sister', 'brandon', 'colonel']","[""In her earnest meditations on the contents of the letter, on the depravity of that mind which could dictate it, and probably, on the very different mind of a very different person, who had no other connection whatever with the affair than what her heart gave him with every thing that passed, Elinor forgot the immediate distress of her sister, forgot that she had three letters on her lap yet unread, and so entirely forgot how long she had been in the room, that when on hearing a carriage drive up to the door, she went to the window to see who could be coming so unreasonably early, she was all astonishment to perceive Mrs. Jennings's chariot, which she knew had not been ordered till one.  Determined not to quit Marianne, though hopeless of contributing, at present, to her ease, she hurried away to excuse herself from attending Mrs. Jennings, on account of her sister being indisposed. Mrs. Jennings, with a thoroughly good-humoured concern for its cause, admitted the excuse most readily, and Elinor, after seeing her safe off, returned to Marianne, whom she found attempting to rise from the bed, and whom she reached just in time to prevent her from falling on the floor, faint and giddy from a long want of proper rest and food; for it was many days since she had any appetite, and many nights since she had really slept; and now, when her mind was no longer supported by the fever of suspense, the consequence of all this was felt in an aching head, a weakened stomach, and a general nervous faintness. A glass of wine, which Elinor procured for her directly, made her more comfortable, and she was at last able to express some sense of her kindness, by saying,"", ""An intimate acquaintance of Mrs. Jennings joined them soon after they entered the Gardens, and Elinor was not sorry that by her continuing with them, and engaging all Mrs. Jennings's conversation, she was herself left to quiet reflection.  She saw nothing of the Willoughbys, nothing of Edward, and for some time nothing of anybody who could by any chance whether grave or gay, be interesting to her.  But at last she found herself with some surprise, accosted by Miss Steele, who, though looking rather shy, expressed great satisfaction in meeting them, and on receiving encouragement from the particular kindness of Mrs. Jennings, left her own party for a short time, to join their's. Mrs. Jennings immediately whispered to Elinor,"", 'He came, examined his patient, and though encouraging Miss Dashwood to expect that a very few days would restore her sister to health, yet, by pronouncing her disorder to have a putrid tendency, and allowing the word ""infection"" to pass his lips, gave instant alarm to Mrs. Palmer, on her baby\'s account.  Mrs. Jennings, who had been inclined from the first to think Marianne\'s complaint more serious than Elinor, now looked very grave on Mr. Harris\'s report, and confirming Charlotte\'s fears and caution, urged the necessity of her immediate removal with her infant; and Mr. Palmer, though treating their apprehensions as idle, found the anxiety and importunity of his wife too great to be withstood.  Her departure, therefore, was fixed on; and within an hour after Mr. Harris\'s arrival, she set off, with her little boy and his nurse, for the house of a near relation of Mr. Palmer\'s, who lived a few miles on the other side of Bath; whither her husband promised, at her earnest entreaty, to join her in a day or two; and whither she was almost equally urgent with her mother to accompany her.  Mrs. Jennings, however, with a kindness of heart which made Elinor really love her, declared her resolution of not stirring from Cleveland as long as Marianne remained ill, and of endeavouring, by her own attentive care, to supply to her the place of the mother she had taken her from; and Elinor found her on every occasion a most willing and active helpmate, desirous to share in all her fatigues, and often by her better experience in nursing, of material use.']"
75,51,75_balaam_balak_22_ass,"['balaam', 'balak', '22', 'ass', 'curse', '23', 'moab', 'unto', 'zippor', 'princes']","['23:26 But Balaam answered and said unto Balak, Told not I thee, saying, All that the LORD speaketh, that I must do?  23:27 And Balak said unto Balaam, Come, I pray thee, I will bring thee unto another place; peradventure it will please God that thou mayest curse me them from thence.', '22:35 And the angel of the LORD said unto Balaam, Go with the men: but only the word that I shall speak unto thee, that thou shalt speak. So Balaam went with the princes of Balak.', '23:2 And Balak did as Balaam had spoken; and Balak and Balaam offered on every altar a bullock and a ram.']"
76,51,76_pitched_33_removed_encamped,"['pitched', '33', 'removed', 'encamped', 'departed', 'marah', 'hazeroth', 'kibrothhattaavah', 'elim', 'wilderness']","['33:15 And they departed from Rephidim, and pitched in the wilderness of Sinai.', '33:11 And they removed from the Red sea, and encamped in the wilderness of Sin.', '33:16 And they removed from the desert of Sinai, and pitched at Kibrothhattaavah.']"
77,50,77_38_my_bones_feet,"['38', 'my', 'bones', 'feet', 'mine', 'consumed', '30', 'sore', 'me', 'enemies']","['30:30 My skin is black upon me, and my bones are burned with heat.', '22:38 I have pursued mine enemies, and destroyed them; and turned not again until I had consumed them.', '22:37 Thou hast enlarged my steps under me; so that my feet did not slip.']"
78,50,78_ark_dagon_priests_covenant,"['ark', 'dagon', 'priests', 'covenant', 'philistines', 'abinadab', 'ashdod', 'levites', 'god', 'ekron']","['8:3 And all the elders of Israel came, and the priests took up the ark.', '3:6 And Joshua spake unto the priests, saying, Take up the ark of the covenant, and pass over before the people. And they took up the ark of the covenant, and went before the people.', '5:8 They sent therefore and gathered all the lords of the Philistines unto them, and said, What shall we do with the ark of the God of Israel? And they answered, Let the ark of the God of Israel be carried about unto Gath. And they carried the ark of the God of Israel about thither.']"
79,50,79_hamlet_haue_gertrude_qu,"['hamlet', 'haue', 'gertrude', 'qu', 'giue', 'ophelia', 'madnesse', 'doe', 'laertes', 'polonius']","['King. I haue nothing with this answer Hamlet, these words are not mine', 'Qu. Came this from Hamlet to her', ""Ham. Giue me your pardon Sir, I'ue done you wrong, But pardon't as you are a Gentleman. This presence knowes, And you must needs haue heard how I am punisht With sore distraction? What I haue done That might your nature honour, and exception Roughly awake, I heere proclaime was madnesse: Was't Hamlet wrong'd Laertes? Neuer Hamlet. If Hamlet from himselfe be tane away: And when he's not himselfe, do's wrong Laertes, Then Hamlet does it not, Hamlet denies it: Who does it then? His Madnesse? If't be so, Hamlet is of the Faction that is wrong'd, His madnesse is poore Hamlets Enemy. Sir, in this Audience, Let my disclaiming from a purpos'd euill, Free me so farre in your most generous thoughts, That I haue shot mine Arrow o're the house, And hurt my Mother""]"
80,48,80_wings_wheels_cherubims_four,"['wings', 'wheels', 'cherubims', 'four', 'lifted', 'cherub', '10', 'went', 'wheel', 'faces']","['11:22 Then did the cherubims lift up their wings, and the wheels beside them; and the glory of the God of Israel was over them above.', ""10:19 And the cherubims lifted up their wings, and mounted up from the earth in my sight: when they went out, the wheels also were beside them, and every one stood at the door of the east gate of the LORD's house; and the glory of the God of Israel was over them above."", '10:16 And when the cherubims went, the wheels went by them: and when the cherubims lifted up their wings to mount up from the earth, the same wheels also turned not from beside them.']"
81,47,81_rings_gold_breastplate_ephod,"['rings', 'gold', 'breastplate', 'ephod', 'shalt', 'overlay', 'scarlet', 'wreathen', 'twined', 'purple']","['39:8 And he made the breastplate of cunning work, like the work of the ephod; of gold, blue, and purple, and scarlet, and fine twined linen.', '28:15 And thou shalt make the breastplate of judgment with cunning work; after the work of the ephod thou shalt make it; of gold, of blue, and of purple, and of scarlet, and of fine twined linen, shalt thou make it.', '28:26 And thou shalt make two rings of gold, and thou shalt put them upon the two ends of the breastplate in the border thereof, which is in the side of the ephod inward.']"
82,47,82_106_107_105_distresses,"['106', '107', '105', 'distresses', 'their', 'provoked', 'trouble', 'them', 'rebelled', 'forgat']","['106:12 Then believed they his words; they sang his praise.', '106:34 They did not destroy the nations, concerning whom the LORD commanded them:', '106:11 And the waters covered their enemies: there was not one of them left.']"
83,46,83_gryphon_turtle_mock_lobsters,"['gryphon', 'turtle', 'mock', 'lobsters', 'lobster', 'alice', 'whiting', 'repeat', 'tone', 'quadrille']","[""They very soon came upon a Gryphon, lying fast asleep in the sun. (IF you don't know what a Gryphon is, look at the picture.) 'Up, lazy thing!' said the Queen, 'and take this young lady to see the Mock Turtle, and to hear his history. I must go back and see after some executions I have ordered'; and she walked off, leaving Alice alone with the Gryphon. Alice did not quite like the look of the creature, but on the whole she thought it would be quite as safe to stay with it as to go after that savage Queen: so she waited."", ""'Hold your tongue!' added the Gryphon, before Alice could speak again. The Mock Turtle went on."", ""'Come, let's try the first figure!' said the Mock Turtle to the Gryphon. 'We can do without lobsters, you know. Which shall sing?'""]"
84,46,84_solomon_hiram_house_build,"['solomon', 'hiram', 'house', 'build', 'david', 'built', 'tyre', 'wisdom', 'finished', 'king']","[""9:1 And it came to pass, when Solomon had finished the building of the house of the LORD, and the king's house, and all Solomon's desire which he was pleased to do, 9:2 That the LORD appeared to Solomon the second time, as he had appeared unto him at Gibeon."", '5:12 And the LORD gave Solomon wisdom, as he promised him: and there was peace between Hiram and Solomon; and they two made a league together.', ""9:10 And it came to pass at the end of twenty years, when Solomon had built the two houses, the house of the LORD, and the king's house, 9:11 (Now Hiram the king of Tyre had furnished Solomon with cedar trees and fir trees, and with gold, according to all his desire,) that then king Solomon gave Hiram twenty cities in the land of Galilee.""]"
85,45,85_jehoshaphat_ramothgilead_king_judah,"['jehoshaphat', 'ramothgilead', 'king', 'judah', 'samaria', 'battle', 'israel', '22', 'prosper', '20']","['18:3 And Ahab king of Israel said unto Jehoshaphat king of Judah, Wilt thou go with me to Ramothgilead? And he answered him, I am as thou art, and my people as thy people; and we will be with thee in the war.', '18:28 So the king of Israel and Jehoshaphat the king of Judah went up to Ramothgilead.', '22:29 So the king of Israel and Jehoshaphat the king of Judah went up to Ramothgilead.']"
86,44,86_willoughby_marianne_sister_has,"['willoughby', 'marianne', 'sister', 'has', 'doubt', 'behaviour', 'engagement', 'been', 'secrecy', 'her']","[""Willoughby, on his side, gave every proof of his pleasure in their acquaintance, which an evident wish of improving it could offer.  He came to them every day. To enquire after Marianne was at first his excuse; but the encouragement of his reception, to which every day gave greater kindness, made such an excuse unnecessary before it had ceased to be possible, by Marianne's perfect recovery. She was confined for some days to the house; but never had any confinement been less irksome.  Willoughby was a young man of good abilities, quick imagination, lively spirits, and open, affectionate manners.  He was exactly formed to engage Marianne's heart, for with all this, he joined not only a captivating person, but a natural ardour of mind which was now roused and increased by the example of her own, and which recommended him to her affection beyond every thing else."", 'That some kind of engagement had subsisted between Willoughby and Marianne she could not doubt, and that Willoughby was weary of it, seemed equally clear; for however Marianne might still feed her own wishes, SHE could not attribute such behaviour to mistake or misapprehension of any kind.  Nothing but a thorough change of sentiment could account for it.  Her indignation would have been still stronger than it was, had she not witnessed that embarrassment which seemed to speak a consciousness of his own misconduct, and prevented her from believing him so unprincipled as to have been sporting with the affections of her sister from the first, without any design that would bear investigation. Absence might have weakened his regard, and convenience might have determined him to overcome it, but that such a regard had formerly existed she could not bring herself to doubt.', '""I wish with all my soul,"" cried Sir John, ""that Willoughby were among us again.""']"
87,43,87_hor_ophe_osr_lord,"['hor', 'ophe', 'osr', 'lord', 'keene', 'tis', 'my', 'againe', 'wager', 'obey']","[""Hor. There's no offence my Lord"", 'Hor. Not I, my Lord, by Heauen', ""Hor. What is't my Lord? we will""]"
